id,id_index,kode_provinsi,nama_provinsi,periode_update,cara_keluar,kategori,jumlah,satuan,tahun
27,80,35,JAWA TIMUR,2018-05,PULANG PAKSA,RUJUKAN,20,PASIEN,2018
27,81,35,JAWA TIMUR,2018-05,PULANG PAKSA,TOTAL,69,PASIEN,2018
28,82,35,JAWA TIMUR,2018-05,PULANG,NON RUJUKAN,565,PASIEN,2018
28,83,35,JAWA TIMUR,2018-05,PULANG,RUJUKAN,76,PASIEN,2018
28,84,35,JAWA TIMUR,2018-05,PULANG,TOTAL,641,PASIEN,2018
29,85,35,JAWA TIMUR,2018-05,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
29,86,35,JAWA TIMUR,2018-05,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
29,87,35,JAWA TIMUR,2018-05,PULANG PAKSA,TOTAL,0,PASIEN,2018
30,88,35,JAWA TIMUR,2018-05,DIRAWAT,NON RUJUKAN,758,PASIEN,2018
30,89,35,JAWA TIMUR,2018-05,DIRAWAT,RUJUKAN,830,PASIEN,2018
30,90,35,JAWA TIMUR,2018-05,DIRAWAT,TOTAL,1588,PASIEN,2018
31,91,35,JAWA TIMUR,2018-06,MENINGGAL,NON RUJUKAN,21,PASIEN,2018
31,92,35,JAWA TIMUR,2018-06,MENINGGAL,RUJUKAN,41,PASIEN,2018
31,93,35,JAWA TIMUR,2018-06,MENINGGAL,TOTAL,62,PASIEN,2018
32,94,35,JAWA TIMUR,2018-06,DIRUJUK,NON RUJUKAN,1,PASIEN,2018
32,95,35,JAWA TIMUR,2018-06,DIRUJUK,RUJUKAN,0,PASIEN,2018
32,96,35,JAWA TIMUR,2018-06,DIRUJUK,TOTAL,1,PASIEN,2018
33,97,35,JAWA TIMUR,2018-06,PULANG PAKSA,NON RUJUKAN,39,PASIEN,2018
33,98,35,JAWA TIMUR,2018-06,PULANG PAKSA,RUJUKAN,21,PASIEN,2018
33,99,35,JAWA TIMUR,2018-06,PULANG PAKSA,TOTAL,60,PASIEN,2018
34,100,35,JAWA TIMUR,2018-06,PULANG,NON RUJUKAN,877,PASIEN,2018
34,101,35,JAWA TIMUR,2018-06,PULANG,RUJUKAN,132,PASIEN,2018
34,102,35,JAWA TIMUR,2018-06,PULANG,TOTAL,1009,PASIEN,2018
35,103,35,JAWA TIMUR,2018-06,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
